	file_spec 2MASS_2MASS.H.dat	2MASS_2MASS.J.dat	2MASS_2MASS.Ks.dat	F378.dat	F395.dat	F410.dat	F430.dat	F515.dat	F660.dat	F861.dat	G.dat	I.dat	R.dat	U.dat	Z.dat	GAIA_GAIA2.G.dat	GAIA_GAIA2.Gbp.dat	GAIA_GAIA2.Grp.dat	GALEX_GALEX.FUV.dat	GALEX_GALEX.NUV.dat	WISE_WISE.W1.dat	WISE_WISE.W2.dat	WISE_WISE.W3.dat	WISE_WISE.W4.dat
Ech1.30Zm0.25T01.0000_iTp0.00_baseFe.txt	29.904513078537256	30.001874635845432	30.177485815999724	31.83154507900253	31.47701122029556	31.1154165730892	31.04828460112484	30.737100433027983	30.525924631155128	30.329385696508744	30.842109950652706	30.36788954624125	30.5266737545413	32.21570798467858	30.324501979881383	30.54132488329156	30.786266149793967	30.359416547608937	33.47818363894617	33.39015968938015	30.88784143708194	31.553345266814112	30.550365602043193	31.016685607724575
Ech1.30Zm0.25T01.2500_iTp0.00_baseFe.txt	29.73205269929104	29.88205727928625	29.988389044936476	32.11823542305195	31.80467027009461	31.40931436705855	31.314133127539186	30.91363840762343	30.57664347486027	30.308140059458957	31.04642926900511	30.377096249708835	30.610275103347924	32.48236408196404	30.249435747070983	30.60545180355941	30.94018574848777	30.359596622826864	33.508103818158126	33.59113226951323	30.69691377269816	31.378646840450834	30.383927689788244	30.924382312077107
Ech1.30Zm0.25T01.5000_iTp0.00_baseFe.txt	29.938504588189794	30.08676923690924	30.208884013235256	32.38744546970246	32.11178293209857	31.69756910511102	31.58584119852066	31.136657104297576	30.74753706463563	30.462017395594465	31.283353618740172	30.541880401774854	30.79285733977533	32.73875766223566	30.439747558900983	30.79254963926555	31.15253647486538	30.53093690240052	33.76589453417849	33.894862608045464	30.93702879746744	31.643891617210407	30.646021826546594	31.14375364297745
Ech1.30Zm0.25T01.7500_iTp0.00_baseFe.txt	30.120607168615983	30.272679427504293	30.397734642139277	32.61640760601434	32.35991325670417	31.93565887469581	31.813720645898137	31.329262794918485	30.904229420146642	30.60211993729451	31.485867864260392	30.686329888928746	30.959016730780938	32.96223803422604	30.60881926512136	30.95802694012604	31.338898116563705	30.684163366195172	33.977283822200626	34.15903931763773	31.127243678505188	31.843182096140957	30.845794335001365	31.330363804488904
Ech1.30Zm0.25T02.0000_iTp0.00_baseFe.txt	30.167717985213862	30.326376480556497	30.44727793040297	32.80415660866593	32.568432866566944	32.11242650098868	31.979736355649855	31.45493902974183	30.99579678098612	30.669719114376555	31.622162931790335	30.764434560982203	31.05850868454629	33.13296902613589	30.668995832446548	31.050877204690003	31.458606299256708	30.760512232607105	34.06367074360205	34.30798551935106	31.174742364121066	31.89018511228013	30.88702594777049	31.39209390971221
Ech1.30Zm0.25T02.2500_iTp0.00_baseFe.txt	30.24024352857682	30.400641220889717	30.520700384305933	32.94990415935015	32.7286063463005	32.25862206028588	32.11983922615129	31.576053337849267	31.095797111514294	30.75285209086001	31.74832436374134	30.852620496156142	31.16367990742679	33.2625654472512	30.747877329337705	31.14958795125279	31.575180241612422	30.848296608727217	34.154491850943465	34.43488490857276	31.248986868784137	31.966098390734423	30.962959524087815	31.473132815002153
Ech1.30Zm0.25T02.5000_iTp0.00_baseFe.txt	30.458434772414627	30.608360076782823	30.745290663486365	33.090847575262835	32.88216855033745	32.40677848591836	32.27201569414667	31.73533933311885	31.268035324021973	30.932800568872487	31.905303251550528	31.030813969532822	31.333484120865613	33.39724071972315	30.943685998393754	31.32350164697234	31.737691646849974	31.028788631812795	34.364789378686716	34.64612328507672	31.47944201194462	32.19650908615895	31.18962764687999	31.681337531888097
Ech1.30Zm0.25T02.7500_iTp0.00_baseFe.txt	30.51182206968246	30.66399096873821	30.798492362779804	33.194091091870995	32.991592742319334	32.50599911236005	32.36899830155692	31.815813930181072	31.33447599898107	30.994438178458573	31.98966671899158	31.093454365884206	31.402563689440875	33.490415138302914	31.001820734343347	31.3913025646116	31.81479542219102	31.091198114061065	34.42541166097002	34.727375128880006	31.53114825263173	32.24667595437247	31.239996754797765	31.738847218318675
Ech1.30Zm0.25T03.0000_iTp0.00_baseFe.txt	30.564644092007804	30.7202300719646	30.85058195610774	33.293190272802626	33.094818415758745	32.59732295908221	32.457977565119755	31.890859830178876	31.39842505301325	31.053581721931458	32.06786584970914	31.154253827758446	31.46881030707261	33.58568675553314	31.05951249858098	31.456436116008454	31.887523683925757	31.152073454939817	34.48700746287948	34.810289524001256	31.58393034439367	32.3003638170344	31.29334763323515	31.796099997500683
Ech1.30Zm0.25T03.2500_iTp0.00_baseFe.txt	30.61691940210715	30.773396559106892	30.902258442069602	33.38851198548837	33.1917417322753	32.68534493935598	32.54364538389019	31.9636199922464	31.4601164630975	31.111702142701084	32.14349103184458	31.213459311668153	31.532592742327914	33.67731133233847	31.114511372966994	31.51925442124449	31.95766613387739	31.21076922170895	34.544026199258504	34.886013908337866	31.635078228448926	32.34955634057824	31.34062437140762	31.850728259647646
